passada,sulco_seco_mm,sulco_umido_mm,delta_sulco_umido_menos_seco_mm,comp_sup_seco,comp_sup_umido,delta_comp_sup_umido_menos_seco
1,8.709,10.966,2.256,0.37,0.437,0.067
2,11.923,14.4,2.477,0.547,0.635,0.088
3,13.271,15.771,2.5,0.642,0.729,0.087
4,13.93,16.453,2.523,0.701,0.783,0.082
5,14.255,16.813,2.558,0.742,0.818,0.076
6,14.4,16.999,2.599,0.773,0.843,0.07
7,14.44,17.084,2.644,0.796,0.861,0.065
8,14.44,17.107,2.667,0.815,0.875,0.06
9,14.44,17.107,2.667,0.83,0.886,0.056
10,14.44,17.107,2.667,0.843,0.894,0.052
